macAddr,vendor,SSID,Security,Privacy,Channel,Frequency,Signal Strength,Strongest Signal Strength,Bandwidth,Last Seen,First Seen,GPS Valid,Latitude,Longitude,Altitude,Speed,Strongest GPS Valid,Strongest Latitude,Strongest Longitude,Strongest Altitude,Strongest Speed,% Utilization,# of Stations
a8:5e:45:cb:5a:8c,,"Depo_1",PSK,CCMP,3,2422,-82,-82,20,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,19.22,0
fe:a3:89:61:39:08,,"Galaxy M120B56",PSK,CCMP,6,2437,-85,-85,20,03/09/2023 11:39:46,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
be:09:27:ce:5c:37,,"ahsen \xc3\xb6zdemir",PSK 00-0f-ac:8,CCMP,6,2437,-88,-88,20,03/09/2023 11:39:33,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
40:d6:3c:05:a0:d6,,"Aromalink_A0D6",PSK,TKIP/CCMP,9,2452,-83,-83,20,03/09/2023 11:39:46,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
40:d6:3c:05:a1:01,,"Aromalink_A101",PSK,TKIP/CCMP,9,2452,-84,-84,20,03/09/2023 11:39:46,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:10,,"Kbb-WiLokal",PSK FT/PSK,CCMP,11,2462,-45,-45,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:11,,"TestWiLokal",PSK FT/PSK,CCMP,11,2462,-47,-67,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:12,,"BuyuksehirInternet",Open,None,11,2462,-47,-67,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:c1,,"TestWiLokal",PSK FT/PSK,CCMP,100,5500,-83,-81,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:c0,,"Kbb-WiLokal",PSK FT/PSK,CCMP,100,5500,-84,-81,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:c2,,"BuyuksehirInternet",Open,None,100,5500,-83,-81,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:91,,"TestWiLokal",PSK FT/PSK,CCMP,116,5580,-91,-91,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:90,,"Kbb-WiLokal",PSK FT/PSK,CCMP,116,5580,-93,-93,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:92,,"BuyuksehirInternet",Open,None,116,5580,-92,-92,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:20,,"Kbb-WiLokal",PSK FT/PSK,CCMP,116,5580,-46,-46,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:21,,"TestWiLokal",PSK FT/PSK,CCMP,116,5580,-46,-46,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:22,,"BuyuksehirInternet",Open,None,116,5580,-46,-46,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
28:6c:07:41:db:b8,,"KbmGoFis",Open,None,157,5785,-78,-78,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,27.45,2
