,MacAddr,SSID,Signal Strength,First Seen,Last Seen
0,28:6c:07:41:db:b7,KbmGoFis,-76,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
1,40:d6:3c:05:a2:6a,Aromalink_A26A,-86,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
2,40:d6:3c:05:a1:01,Aromalink_A101,-80,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
3,c0:f6:c2:ca:da:10,Kbb-WiLokal,-54,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
4,c0:f6:c2:ca:da:11,TestWiLokal,-48,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
5,c0:f6:c2:ca:da:12,BuyuksehirInternet,-48,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
6,d4:d5:1b:de:42:c0,Kbb-WiLokal,-80,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
7,d4:d5:1b:de:42:c1,TestWiLokal,-80,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
8,d4:d5:1b:de:42:c2,BuyuksehirInternet,-80,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
9,c0:f6:c2:de:ee:10,Kbb-WiLokal,-87,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
10,c0:f6:c2:de:ee:11,TestWiLokal,-88,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
11,c0:f6:c2:de:ee:12,BuyuksehirInternet,-87,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
12,04:e7:95:2d:1c:91,TestWiLokal,-89,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
13,04:e7:95:2d:1c:92,BuyuksehirInternet,-89,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
14,c0:f6:c2:ca:da:20,Kbb-WiLokal,-50,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
15,c0:f6:c2:ca:da:21,TestWiLokal,-50,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
16,c0:f6:c2:ca:da:22,BuyuksehirInternet,-50,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
17,28:6c:07:41:db:b8,KbmGoFis,-84,2023-03-09 15:14:26.598102,2023-03-09 15:14:26.598102
